Pred_Factor1,Pred_Factor2,Pred_Factor3,Pred_Factor4,Pred_Factor5,FID,Phenotype
0.7637428,0.28517872,0.04213959,0.01673007,0.54139346,HG02079,1
0.14068413,0.14057925,0.2683422,0.23302034,0.16055664,HG01944,0
0.48890942,0.21767747,0.094084084,0.052955747,0.36260653,HG02512,1
0.6957464,0.28099018,0.06104681,0.026968032,0.48448923,NA18526,1
0.6450147,0.2545054,0.062684745,0.029918373,0.45254368,HG00565,1
0.8213803,0.30150878,0.03208497,0.011139542,0.5981405,NA18980,1
0.059836924,0.11542499,0.4265293,0.44063953,0.097498626,HG02003,0
0.75265086,0.28186968,0.043927312,0.017722279,0.5334017,NA18565,1
0.059618592,0.1088053,0.41908926,0.42578372,0.096787184,NA18624,1
0.17765075,0.151404,0.23130822,0.18997854,0.1845856,HG01938,0
0.7198545,0.27231178,0.051554978,0.022138447,0.49918264,HG01878,1
0.5435945,0.23341551,0.08439165,0.04536459,0.38892785,HG02029,1
0.83250725,0.31205982,0.029678136,0.009826839,0.6212915,HG01868,1
0.43603873,0.20201072,0.110189736,0.06479496,0.3229079,HG01843,1
0.8021934,0.30361804,0.034757882,0.012823701,0.5878834,HG01806,1
0.6447406,0.25447923,0.062452823,0.029629737,0.45470783,HG01845,1
0.03785464,0.10245758,0.51901263,0.55929035,0.074312866,NA19728,0
0.0036168993,0.06071061,0.88335276,0.9376371,0.016726643,HG00592,1
0.4492124,0.20566559,0.097459555,0.058475792,0.34355062,NA18623,1
0.55093974,0.23548669,0.08616763,0.045930892,0.38772306,HG02067,1
0.59692234,0.24930868,0.07480398,0.037417173,0.4243346,NA18963,1
0.594648,0.26282346,0.083372444,0.041108698,0.4228999,HG01795,1
0.025836885,0.09315571,0.61013216,0.6600378,0.058490574,HG02104,0
0.8092729,0.30388945,0.034400254,0.012113094,0.59156114,NA19003,1
0.7539764,0.29350853,0.046989262,0.018994689,0.5314593,HG01800,1
0.19275412,0.15072107,0.2094003,0.16694197,0.19668275,NA18749,1
0.7156178,0.2825966,0.053941548,0.02375099,0.49872184,HG00675,1
0.0824658,0.12262258,0.364687,0.3524616,0.11805946,HG01951,0
0.46182162,0.21032998,0.09799078,0.05733806,0.34792864,HG01927,0
0.8279599,0.30570236,0.030857474,0.010421932,0.6090193,HG01872,1
0.7027634,0.29004776,0.05897948,0.025864303,0.49565572,NA18591,1
0.0040602386,0.06508115,0.8710356,0.9291676,0.019131392,HG02147,0
0.09039199,0.1268521,0.33678502,0.3255271,0.1274738,NA18993,1
0.47347528,0.21736035,0.102395564,0.06050554,0.34566742,NA19072,1
0.37477678,0.20257571,0.13505033,0.08585435,0.29867882,HG02113,1
0.10536608,0.12961054,0.30857998,0.28519726,0.13940763,NA18567,1
0.7914026,0.29769576,0.036435157,0.013762414,0.5755193,NA18986,1
0.6255257,0.26044184,0.07309306,0.036403626,0.4333794,NA18638,1
0.7379992,0.27597237,0.045922726,0.019109398,0.5195847,HG01031,1
0.703251,0.27175754,0.050485373,0.022314489,0.5040726,HG01873,1
0.58325475,0.23577398,0.07483077,0.03804943,0.40973425,HG01850,1
0.6947247,0.27520016,0.05660218,0.024964303,0.48974022,NA18553,1
0.10657418,0.1340785,0.3127514,0.29456878,0.13868323,NA19726,0
0.7596097,0.2829066,0.043263346,0.017278463,0.5356999,HG02031,1
0.040850073,0.11160481,0.5011791,0.5397049,0.082063705,NA19729,0
0.013795614,0.09524819,0.7318751,0.79978,0.044038057,NA18535,1
0.034106493,0.101905376,0.543711,0.5894886,0.070258945,HG01939,0
0.06362745,0.13045415,0.43385953,0.44176492,0.106523514,NA19065,1
0.18996084,0.19015476,0.2740421,0.21927568,0.20000204,HG02356,1
0.5186285,0.22061032,0.082042515,0.045598865,0.38299054,NA18541,1
0.09733158,0.12601501,0.32859865,0.31044257,0.12966302,HG02016,1
0.33841857,0.18880701,0.15340668,0.10036808,0.26871556,NA18619,1
0.71545845,0.2852384,0.055339545,0.023736835,0.5001408,HG01801,1
0.35140526,0.20290661,0.15782773,0.10232997,0.2785561,NA19089,1
0.3307113,0.2083936,0.1793105,0.119802415,0.2672497,HG01866,1
0.47058022,0.2311332,0.112609625,0.06646326,0.34946692,HG02131,1
0.28569883,0.19626504,0.1893251,0.13562566,0.24857292,NA19005,1
0.12362352,0.13491943,0.2834507,0.25745863,0.1497412,NA19758,0
0.07064703,0.123075694,0.38798276,0.39145333,0.11198059,NA19731,0
0.12361848,0.14521691,0.31114852,0.27755335,0.15198523,NA19083,1
0.054166228,0.11593306,0.44821712,0.46303117,0.09576261,HG02304,0
0.004670292,0.070166856,0.8592229,0.9200487,0.021472484,HG02265,0
0.43620464,0.21848798,0.109849215,0.067427635,0.33986837,NA19087,1
0.6537647,0.27172214,0.06963375,0.032355696,0.45460546,HG02380,1
0.077272415,0.122516364,0.38266927,0.37349898,0.11527333,NA18984,1
0.22302955,0.15927532,0.2033253,0.15248135,0.2073828,HG02058,1
0.00481534,0.06364709,0.8560611,0.916929,0.020280868,HG02285,0
0.016588718,0.086370915,0.67245597,0.7429769,0.04732606,HG02089,0
0.0034735799,0.058242887,0.88834774,0.94099975,0.015616953,HG01917,0
0.814685,0.30545375,0.0333727,0.011581719,0.5975696,NA19054,1
0.006153345,0.06446546,0.8341435,0.89541024,0.022905797,HG01977,0
0.10154006,0.12704694,0.32694322,0.3023339,0.13137859,HG02262,0
0.007678658,0.07561326,0.8023156,0.87322754,0.029087067,HG01486,0
0.07063365,0.120693,0.38934863,0.39361963,0.10946348,NA19734,0
0.07246211,0.12081057,0.37982777,0.38098216,0.11254251,NA19720,0
0.2010226,0.1814301,0.25515836,0.20172635,0.20193195,HG01867,1
0.0050037205,0.065511286,0.8539317,0.91499674,0.021028996,HG03916,0
0.0049136877,0.06560302,0.8562151,0.91699016,0.020776808,NA20849,0
0.0052294433,0.06762111,0.844537,0.9095856,0.022479177,NA19774,0
0.0033934414,0.059879184,0.88873696,0.9419812,0.015928626,NA19741,0
0.13996741,0.14078069,0.266846,0.23699373,0.15883467,HG01971,0
0.09828931,0.15867236,0.40218306,0.370085,0.135117,HG03928,0
0.0054748356,0.07042119,0.8433672,0.9072176,0.023227602,HG01970,0
0.049398065,0.10571247,0.4645372,0.4834987,0.08609632,HG03660,0
0.00981158,0.07487571,0.77294934,0.84119153,0.03230402,HG00171,0
0.0051195025,0.0690406,0.84937745,0.91259694,0.022271007,HG00361,0
0.14457494,0.14438209,0.26148808,0.2297816,0.16523147,NA19795,0
0.06965721,0.124762684,0.4202713,0.4221729,0.10634652,HG03917,0
0.052262068,0.10664585,0.44977784,0.46569473,0.089405835,HG03905,0
0.037058026,0.10516125,0.52225965,0.5643894,0.075531244,HG00186,0
0.04152432,0.09934965,0.49211645,0.5221076,0.07776615,HG03920,0
0.0063367486,0.06975436,0.82211006,0.8912898,0.0253717,HG00313,0
0.06469357,0.11078286,0.40152547,0.40286556,0.10181004,NA20892,0
0.008796364,0.07515979,0.7794548,0.8531538,0.03131178,HG03902,0
0.034589052,0.0969075,0.5433274,0.5819136,0.06908271,NA11932,0
0.009134829,0.077972114,0.7772621,0.8490064,0.03267628,HG00150,0
0.08292028,0.120705724,0.35301447,0.3417315,0.119802326,HG00318,0
0.082692295,0.12048802,0.3620824,0.35145956,0.11673781,NA20867,0
0.03405446,0.09775594,0.5403949,0.58251566,0.06903085,HG00375,0
0.049118727,0.10467267,0.45848912,0.47909775,0.08641103,HG00315,0
0.014088243,0.08376449,0.7213632,0.78822625,0.040987343,HG04061,0
0.027101725,0.09127879,0.58568585,0.63758445,0.05994606,HG03925,0
0.64308995,0.25108212,0.06371117,0.030080795,0.4486603,HG04164,0
0.0043126047,0.060797244,0.8707552,0.9265622,0.018123448,NA19783,0
0.038139254,0.09964475,0.5142549,0.5480708,0.07508874,HG04054,0
0.019615442,0.085565954,0.6501613,0.7137059,0.049331665,HG03689,0
0.0057986677,0.06963271,0.84136206,0.9037648,0.023441434,NA19657,0
0.16195038,0.14674908,0.24176145,0.2075207,0.17359501,HG04144,0
0.02966845,0.09364173,0.56870747,0.6165436,0.06333229,NA21088,0
0.028793752,0.0942812,0.5765269,0.62614554,0.06301099,HG03937,0
0.0071361065,0.07699376,0.8107903,0.87902737,0.029125422,NA12249,0
0.014430046,0.093116194,0.7240044,0.7903921,0.044410646,HG00369,0
0.12913615,0.14513314,0.29746667,0.2612741,0.15383515,HG03812,0
0.013821304,0.081341356,0.7187115,0.786283,0.04073766,HG04194,0
0.045572996,0.10559285,0.47575653,0.5047986,0.08346322,HG00177,0
0.022509158,0.09452739,0.63577133,0.6961864,0.05507347,NA19649,0
0.007602334,0.0768871,0.81251574,0.87767625,0.028896242,HG01378,0
0.0036436915,0.061861515,0.8814208,0.9374777,0.017164916,HG01932,0
0.010563672,0.076908916,0.7567096,0.8284906,0.03433168,HG03809,0
0.7004245,0.27123597,0.054116905,0.024271667,0.4887117,HG04173,0
0.0047177672,0.0664193,0.8574848,0.9188095,0.020761818,HG03625,0
0.013008684,0.08163214,0.72172576,0.7945479,0.039557397,HG03668,0
0.005604923,0.07073048,0.8391608,0.9042704,0.023744315,HG03914,0
0.086793005,0.12471467,0.34591058,0.33365455,0.124447465,HG04140,0
0.10343939,0.12785351,0.31823927,0.29566276,0.13451517,HG00274,0
0.026753515,0.093432695,0.5837504,0.6396427,0.061157584,NA20899,0
0.09474304,0.13378969,0.33969808,0.327648,0.1307294,HG00281,0
0.20545599,0.1573624,0.20525429,0.16141981,0.20481202,HG03598,0
0.009012908,0.080204576,0.7918118,0.85829383,0.032285094,HG00284,0
0.08819494,0.12181145,0.35288298,0.3347736,0.120640844,HG00267,0
0.06326556,0.11008379,0.40586966,0.4085781,0.100421965,HG04026,0
0.0036108792,0.061779976,0.8842033,0.93828344,0.016835928,HG00327,0
0.0047043264,0.06349242,0.86179733,0.92034113,0.019719154,HG00110,0
0.14986059,0.14046368,0.25150365,0.21440327,0.16786888,HG04096,0
0.009390086,0.07621688,0.77631927,0.84708196,0.032315224,HG04158,0
0.03576553,0.10424733,0.52358145,0.5624405,0.076218605,NA12778,0
0.004510194,0.06388962,0.86449724,0.9234394,0.019472241,HG04023,0
0.008820951,0.08077571,0.78351533,0.85334617,0.033412516,HG01565,0
0.08698332,0.12463775,0.34535015,0.3330264,0.12451267,HG03815,0
0.0045804083,0.06613633,0.85933536,0.9209205,0.020561665,HG00185,0
0.16887361,0.16516876,0.2706703,0.22371134,0.1794016,HG03009,0
0.038493782,0.0982064,0.50897974,0.54280186,0.07461274,HG03773,0
0.03358549,0.10055205,0.5522205,0.5962845,0.068926275,HG00246,0
0.6183828,0.25121522,0.07232952,0.03520587,0.43081445,HG04195,0
0.026893258,0.09115261,0.5946267,0.6445736,0.059258997,HG01789,0
0.026542723,0.09090328,0.5900388,0.64302725,0.059132457,HG04186,0
0.009061456,0.0720202,0.78057754,0.8502294,0.030592203,NA21104,0
0.041600317,0.10336411,0.50440204,0.53393185,0.07836908,NA21105,0
